,index,lag,prob
209,23,-3,0.09836065573770492
210,24,-2,0.09375
211,25,-1,0.19696969696969696
212,26,0,
213,27,1,0.391304347826087
214,28,2,0.1111111111111111
215,29,3,0.05555555555555555
216,30,4,0.045454545454545456
217,31,5,0.046511627906976744
218,32,6,0.1111111111111111
219,33,7,0.0
220,34,8,0.0
221,18,-8,0.0
222,19,-7,0.0
223,20,-6,0.0
224,21,-5,0.0
225,22,-4,0.0
226,23,-3,0.1111111111111111
227,24,-2,0.16666666666666666
228,25,-1,0.2786885245901639
229,26,0,
230,27,1,0.43333333333333335
231,28,2,0.06779661016949153
232,29,3,0.03636363636363636
233,30,4,0.046511627906976744
234,31,5,0.0
235,32,6,0.05
236,33,7,0.1111111111111111
237,34,8,0.0
238,18,-8,0.15384615384615385
239,19,-7,0.0
240,20,-6,0.041666666666666664
241,21,-5,0.038461538461538464
242,22,-4,0.038461538461538464
243,23,-3,0.1282051282051282
244,24,-2,0.10204081632653061
245,25,-1,0.30612244897959184
246,26,0,
247,27,1,0.1568627450980392
248,28,2,0.22
249,29,3,0.1
250,30,4,0.07142857142857142
251,31,5,0.0
252,32,6,0.0
253,33,7,0.0
254,34,8,0.0
255,18,-8,0.0
256,19,-7,0.0
257,20,-6,0.0
258,21,-5,0.05555555555555555
259,22,-4,0.0
260,23,-3,0.05263157894736842
261,24,-2,0.07936507936507936
262,25,-1,0.375
263,26,0,
264,27,1,0.39344262295081966
265,28,2,0.16071428571428573
266,29,3,0.018867924528301886
267,30,4,0.044444444444444446
268,31,5,0.0
269,32,6,0.05263157894736842
270,33,7,0.0
271,34,8,0.0
272,18,-8,0.0
273,19,-7,0.0
274,20,-6,0.0
275,21,-5,0.03125
276,22,-4,0.03333333333333333
277,23,-3,0.06666666666666667
278,24,-2,0.10526315789473684
279,25,-1,0.2033898305084746
280,26,0,
281,27,1,0.42857142857142855
282,28,2,0.2037037037037037
283,29,3,0.021739130434782608
284,30,4,0.0
285,31,5,0.13636363636363635
286,32,6,0.0
287,33,7,0.0
288,34,8,0.0
289,18,-8,0.0
290,19,-7,0.0
291,20,-6,0.025
292,21,-5,0.0
293,22,-4,0.0
294,23,-3,0.058823529411764705
295,24,-2,0.0975609756097561
296,25,-1,0.15476190476190477
297,26,0,
298,27,1,0.44565217391304346
299,28,2,0.1839080459770115
300,29,3,0.05405405405405406
301,30,4,0.06153846153846154
302,31,5,0.0
303,32,6,0.045454545454545456
304,33,7,0.0
305,34,8,0.0
306,18,-8,0.0
307,19,-7,0.0
308,20,-6,0.0
309,21,-5,0.0
310,22,-4,0.0
311,23,-3,0.12244897959183673
312,24,-2,0.07936507936507936
313,25,-1,0.2328767123287671
314,26,0,
315,27,1,0.4084507042253521
316,28,2,0.08695652173913043
317,29,3,0.11940298507462686
318,30,4,0.06
319,31,5,0.05263157894736842
320,32,6,0.037037037037037035
321,33,7,0.0
322,34,8,0.0
323,18,-8,0.0
324,19,-7,0.0
325,20,-6,0.0
326,21,-5,0.0
327,22,-4,0.023809523809523808
328,23,-3,0.049586776859504134
329,24,-2,0.0962962962962963
330,25,-1,0.19047619047619047
331,26,0,
332,27,1,0.5975609756097561
333,28,2,0.21875
334,29,3,0.058394160583941604
335,30,4,0.056074766355140186
336,31,5,0.043010752688172046
337,32,6,0.09615384615384616
338,33,7,0.05555555555555555
339,34,8,0.058823529411764705
340,18,-8,0.0
341,19,-7,0.0
342,20,-6,0.07142857142857142
343,21,-5,0.0
344,22,-4,0.058823529411764705
345,23,-3,0.1
346,24,-2,0.14285714285714285
347,25,-1,0.296875
348,26,0,
349,27,1,0.3225806451612903
350,28,2,0.08333333333333333
351,29,3,0.04081632653061224
352,30,4,0.05263157894736842
353,31,5,0.030303030303030304
354,32,6,0.09523809523809523
355,33,7,0.07692307692307693
356,34,8,0.0
357,18,-8,0.0
358,19,-7,0.0
359,20,-6,0.05263157894736842
360,21,-5,0.047619047619047616
361,22,-4,0.0
362,23,-3,0.09090909090909091
363,24,-2,0.07692307692307693
364,25,-1,0.1509433962264151
365,26,0,
366,27,1,0.5357142857142857
367,28,2,0.09615384615384616
368,29,3,0.041666666666666664
369,30,4,0.027777777777777776
370,31,5,0.07142857142857142
371,32,6,0.0
372,33,7,0.0
373,34,8,0.16666666666666666
374,18,-8,0.0
375,19,-7,0.024390243902439025
376,20,-6,0.025
377,21,-5,0.06
378,22,-4,0.08333333333333333
379,23,-3,0.10416666666666667
380,24,-2,0.16071428571428573
381,25,-1,0.30833333333333335
382,26,0,
383,27,1,0.3902439024390244
384,28,2,0.17475728155339806
385,29,3,0.11904761904761904
386,30,4,0.05714285714285714
387,31,5,0.021739130434782608
388,32,6,0.06976744186046512
389,33,7,0.20833333333333334
390,34,8,0.0
391,18,-8,0.0625
392,19,-7,0.0
393,20,-6,0.0
394,21,-5,0.0
395,22,-4,0.0
396,23,-3,0.04918032786885246
397,24,-2,0.05405405405405406
398,25,-1,0.15789473684210525
399,26,0,
400,27,1,0.5866666666666667
401,28,2,0.10256410256410256
402,29,3,0.18181818181818182
403,30,4,0.07017543859649122
404,31,5,0.02631578947368421
405,32,6,0.0
406,33,7,0.0
407,34,8,0.10526315789473684
408,18,-8,0.0
409,19,-7,0.0
410,20,-6,0.05
411,21,-5,0.03225806451612903
412,22,-4,0.024390243902439025
413,23,-3,0.10909090909090909
414,24,-2,0.11290322580645161
415,25,-1,0.31666666666666665
416,26,0,
417,27,1,0.36065573770491804
418,28,2,0.09836065573770492
419,29,3,0.03571428571428571
420,30,4,0.02631578947368421
421,31,5,0.038461538461538464
422,32,6,0.05263157894736842
423,33,7,0.058823529411764705
424,34,8,0.1111111111111111
425,18,-8,0.1111111111111111
426,19,-7,0.0
427,20,-6,0.0
428,21,-5,0.0
429,22,-4,0.021739130434782608
430,23,-3,0.10638297872340426
431,24,-2,0.14925373134328357
432,25,-1,0.21428571428571427
433,26,0,
434,27,1,0.30434782608695654
435,28,2,0.12857142857142856
436,29,3,0.07272727272727272
437,30,4,0.06382978723404255
438,31,5,0.06451612903225806
439,32,6,0.038461538461538464
440,33,7,0.0
441,34,8,0.09090909090909091
442,18,-8,0.0
443,19,-7,0.0
444,20,-6,0.043478260869565216
445,21,-5,0.04
446,22,-4,0.017857142857142856
447,23,-3,0.0641025641025641
448,24,-2,0.08
449,25,-1,0.7525773195876289
450,26,0,
451,27,1,0.05555555555555555
452,28,2,0.028985507246376812
453,29,3,0.031746031746031744
454,30,4,0.0
455,31,5,0.02564102564102564
456,32,6,0.037037037037037035
457,33,7,0.0
458,34,8,0.0
459,18,-8,0.0
460,19,-7,0.07692307692307693
461,20,-6,0.0
462,21,-5,0.0
463,22,-4,0.041666666666666664
464,23,-3,0.04411764705882353
465,24,-2,0.11688311688311688
466,25,-1,0.21686746987951808
467,26,0,
468,27,1,0.39759036144578314
469,28,2,0.13333333333333333
470,29,3,0.09836065573770492
471,30,4,0.10204081632653061
472,31,5,0.125
473,32,6,0.0
474,33,7,0.05555555555555555
475,34,8,0.0
476,18,-8,0.0
477,19,-7,0.0
478,20,-6,0.0
479,21,-5,0.02631578947368421
480,22,-4,0.07142857142857142
481,23,-3,0.1111111111111111
482,24,-2,0.19230769230769232
483,25,-1,0.24691358024691357
484,26,0,
