,subject,spos_bins,repeats,session,recalled,adj_rec
119,R1501J,3.0,,6,,
120,R1501J,4.0,,6,,
121,R1501J,5.0,,6,,
122,R1501J,6.0,,6,,
123,R1501J,7.0,,6,,
124,R1501J,8.0,,6,,
125,R1501J,9.0,,6,,
126,R1514E,1.0,1.0,0,0.0,0.20296296296296293
127,R1514E,2.0,1.0,0,0.0,0.1069074074074074
128,R1514E,3.0,1.0,0,0.0,0.057111111111111106
129,R1514E,4.0,1.0,0,0.0,0.08958796296296295
130,R1514E,5.0,1.0,0,0.1111111111111111,0.08271296296296296
131,R1514E,6.0,1.0,0,0.0,0.11424537037037037
132,R1514E,7.0,1.0,0,0.0,0.14794444444444443
133,R1514E,8.0,1.0,0,0.08333333333333333,0.24629398148148146
134,R1514E,9.0,1.0,0,0.5,0.47605753968253967
135,R1514E,1.0,,1,,
136,R1514E,2.0,,1,,
137,R1514E,3.0,,1,,
138,R1514E,4.0,,1,,
139,R1514E,5.0,,1,,
140,R1514E,6.0,,1,,
141,R1514E,7.0,,1,,
142,R1514E,8.0,,1,,
143,R1514E,9.0,,1,,
144,R1514E,1.0,,2,,
145,R1514E,2.0,,2,,
146,R1514E,3.0,,2,,
147,R1514E,4.0,,2,,
148,R1514E,5.0,,2,,
149,R1514E,6.0,,2,,
150,R1514E,7.0,,2,,
151,R1514E,8.0,,2,,
152,R1514E,9.0,,2,,
153,R1514E,1.0,,3,,
154,R1514E,2.0,,3,,
155,R1514E,3.0,,3,,
156,R1514E,4.0,,3,,
157,R1514E,5.0,,3,,
158,R1514E,6.0,,3,,
159,R1514E,7.0,,3,,
160,R1514E,8.0,,3,,
161,R1514E,9.0,,3,,
162,R1514E,1.0,,4,,
163,R1514E,2.0,,4,,
164,R1514E,3.0,,4,,
165,R1514E,4.0,,4,,
166,R1514E,5.0,,4,,
167,R1514E,6.0,,4,,
168,R1514E,7.0,,4,,
169,R1514E,8.0,,4,,
170,R1514E,9.0,,4,,
171,R1514E,1.0,,5,,
172,R1514E,2.0,,5,,
173,R1514E,3.0,,5,,
174,R1514E,4.0,,5,,
175,R1514E,5.0,,5,,
176,R1514E,6.0,,5,,
177,R1514E,7.0,,5,,
178,R1514E,8.0,,5,,
179,R1514E,9.0,,5,,
180,R1514E,1.0,,6,,
181,R1514E,2.0,,6,,
182,R1514E,3.0,,6,,
183,R1514E,4.0,,6,,
184,R1514E,5.0,,6,,
185,R1514E,6.0,,6,,
186,R1514E,7.0,,6,,
187,R1514E,8.0,,6,,
188,R1514E,9.0,,6,,
189,R1516E,1.0,1.0,0,0.08333333333333333,0.20296296296296293
190,R1516E,2.0,1.0,0,0.1111111111111111,0.1069074074074074
191,R1516E,3.0,1.0,0,0.0,0.057111111111111106
192,R1516E,4.0,1.0,0,0.08333333333333333,0.08958796296296295
193,R1516E,5.0,1.0,0,0.08333333333333333,0.08271296296296296
194,R1516E,6.0,1.0,0,0.20000000000000004,0.11424537037037037
195,R1516E,7.0,1.0,0,0.0,0.14794444444444443
196,R1516E,8.0,1.0,0,0.0,0.2462939814814815
197,R1516E,9.0,1.0,0,0.2,0.47605753968253967
198,R1516E,1.0,,1,,
199,R1516E,2.0,,1,,
200,R1516E,3.0,,1,,
201,R1516E,4.0,,1,,
202,R1516E,5.0,,1,,
203,R1516E,6.0,,1,,
204,R1516E,7.0,,1,,
205,R1516E,8.0,,1,,
206,R1516E,9.0,,1,,
207,R1516E,1.0,,2,,
208,R1516E,2.0,,2,,
209,R1516E,3.0,,2,,
210,R1516E,4.0,,2,,
211,R1516E,5.0,,2,,
212,R1516E,6.0,,2,,
213,R1516E,7.0,,2,,
214,R1516E,8.0,,2,,
215,R1516E,9.0,,2,,
216,R1516E,1.0,,3,,
217,R1516E,2.0,,3,,
218,R1516E,3.0,,3,,
219,R1516E,4.0,,3,,
220,R1516E,5.0,,3,,
221,R1516E,6.0,,3,,
222,R1516E,7.0,,3,,
223,R1516E,8.0,,3,,
224,R1516E,9.0,,3,,
225,R1516E,1.0,,4,,
226,R1516E,2.0,,4,,
227,R1516E,3.0,,4,,
228,R1516E,4.0,,4,,
229,R1516E,5.0,,4,,
230,R1516E,6.0,,4,,
231,R1516E,7.0,,4,,
232,R1516E,8.0,,4,,
233,R1516E,9.0,,4,,
234,R1516E,1.0,,5,,
235,R1516E,2.0,,5,,
