,subject,repeats,recalled,adj_rec
0,MTK00007,1.0,0.41666666666666663,0.35997876857749467
1,MTK00007,2.0,0.4833333333333333,0.5463906581740976
2,MTK00007,3.0,0.5583333333333333,0.7057003575818527
3,MTK00008,1.0,0.21666666666666665,0.35997876857749467
4,MTK00008,2.0,0.5,0.5463906581740976
5,MTK00008,3.0,0.6916666666666667,0.7057003575818527
6,MTK00011,1.0,0.8333333333333334,0.35997876857749467
7,MTK00011,2.0,0.85,0.5463906581740976
8,MTK00011,3.0,0.8916666666666666,0.7057003575818527
9,MTK00012,1.0,0.21666666666666665,0.35997876857749467
10,MTK00012,2.0,0.41666666666666663,0.5463906581740976
11,MTK00012,3.0,0.5,0.7057003575818527
12,MTK00023,1.0,0.5333333333333333,0.35997876857749467
13,MTK00023,2.0,0.55,0.5463906581740976
14,MTK00023,3.0,0.5666666666666667,0.7057003575818527
15,MTK00031,1.0,0.5333333333333333,0.35997876857749467
16,MTK00031,2.0,0.7166666666666666,0.5463906581740976
17,MTK00031,3.0,0.6,0.7057003575818527
18,MTK00035,1.0,0.5333333333333333,0.35997876857749467
19,MTK00035,2.0,0.6333333333333333,0.5463906581740976
20,MTK00035,3.0,0.7583333333333333,0.7057003575818527
21,MTK00036,1.0,0.55,0.35997876857749467
22,MTK00036,2.0,0.7833333333333333,0.5463906581740976
23,MTK00036,3.0,0.9,0.7057003575818527
24,MTK00040,1.0,0.2,0.35997876857749467
25,MTK00040,2.0,0.5,0.5463906581740976
26,MTK00040,3.0,0.6,0.7057003575818527
27,MTK00041,1.0,0.5666666666666667,0.35997876857749467
28,MTK00041,2.0,0.65,0.5463906581740976
29,MTK00041,3.0,0.625,0.7057003575818527
30,MTK00043,1.0,0.3,0.35997876857749467
31,MTK00043,2.0,0.5666666666666667,0.5463906581740976
32,MTK00043,3.0,0.75,0.7057003575818527
33,MTK00044,1.0,0.3833333333333333,0.35997876857749467
34,MTK00044,2.0,0.65,0.5463906581740976
35,MTK00044,3.0,0.7416666666666667,0.7057003575818527
36,MTK00049,1.0,0.31666666666666665,0.35997876857749467
37,MTK00049,2.0,0.45,0.5463906581740976
38,MTK00049,3.0,0.5583333333333333,0.7057003575818527
39,MTK00050,1.0,0.26666666666666666,0.35997876857749467
40,MTK00050,2.0,0.3833333333333333,0.5463906581740976
41,MTK00050,3.0,0.675,0.7057003575818527
42,MTK00051,1.0,0.31666666666666665,0.35997876857749467
43,MTK00051,2.0,0.4,0.5463906581740976
44,MTK00051,3.0,0.5083333333333333,0.7057003575818527
45,MTK00056,1.0,0.21666666666666665,0.35997876857749467
46,MTK00056,2.0,0.4,0.5463906581740976
47,MTK00056,3.0,0.5916666666666667,0.7057003575818527
48,MTK00058,1.0,0.31666666666666665,0.35997876857749467
49,MTK00058,2.0,0.45,0.5463906581740976
50,MTK00058,3.0,0.6416666666666667,0.7057003575818527
51,MTK00059,1.0,0.36666666666666664,0.35997876857749467
52,MTK00059,2.0,0.5166666666666666,0.5463906581740976
53,MTK00059,3.0,0.7333333333333334,0.7057003575818527
54,MTK00061,1.0,0.25,0.35997876857749467
55,MTK00061,2.0,0.65,0.5463906581740976
56,MTK00061,3.0,0.65,0.7057003575818527
57,MTK00062,1.0,0.5166666666666666,0.35997876857749467
58,MTK00062,2.0,0.6333333333333333,0.5463906581740976
59,MTK00062,3.0,0.7,0.7057003575818527
60,MTK00066,1.0,0.31666666666666665,0.35997876857749467
61,MTK00066,2.0,0.4833333333333333,0.5463906581740976
62,MTK00066,3.0,0.6583333333333333,0.7057003575818527
63,MTK00071,1.0,0.18333333333333332,0.35997876857749467
64,MTK00071,2.0,0.4666666666666666,0.5463906581740976
65,MTK00071,3.0,0.5416666666666667,0.7057003575818527
66,MTK00073,1.0,0.8333333333333334,0.35997876857749467
67,MTK00073,2.0,0.8833333333333334,0.5463906581740976
68,MTK00073,3.0,0.9166666666666666,0.7057003575818527
69,MTK00075,1.0,0.36666666666666664,0.35997876857749467
70,MTK00075,2.0,0.5166666666666666,0.5463906581740976
71,MTK00075,3.0,0.7833333333333333,0.7057003575818527
72,MTK00076,1.0,0.26666666666666666,0.35997876857749467
73,MTK00076,2.0,0.4833333333333333,0.5463906581740976
74,MTK00076,3.0,0.6666666666666667,0.7057003575818527
75,MTK00078,1.0,0.31666666666666665,0.35997876857749467
76,MTK00078,2.0,0.4666666666666666,0.5463906581740976
77,MTK00078,3.0,0.7,0.7057003575818527
78,MTK00079,1.0,0.4666666666666666,0.35997876857749467
79,MTK00079,2.0,0.6333333333333333,0.5463906581740976
80,MTK00079,3.0,0.775,0.7057003575818527
81,MTK00084,1.0,0.45,0.35997876857749467
82,MTK00084,2.0,0.5666666666666667,0.5463906581740976
83,MTK00084,3.0,0.7333333333333333,0.7057003575818527
84,MTK00090,1.0,0.35,0.35997876857749467
85,MTK00090,2.0,0.55,0.5463906581740976
86,MTK00090,3.0,0.7416666666666667,0.7057003575818527
87,MTK00097,1.0,0.15,0.35997876857749467
88,MTK00097,2.0,0.3333333333333333,0.5463906581740976
89,MTK00097,3.0,0.631578947368421,0.7057003575818527
90,MTK00099,1.0,0.18333333333333332,0.35997876857749467
91,MTK00099,2.0,0.3833333333333333,0.5463906581740976
92,MTK00099,3.0,0.5666666666666667,0.7057003575818527
93,MTK00104,1.0,0.36666666666666664,0.35997876857749467
94,MTK00104,2.0,0.4666666666666667,0.5463906581740976
95,MTK00104,3.0,0.5916666666666667,0.7057003575818527
96,MTK00105,1.0,0.18333333333333332,0.35997876857749467
97,MTK00105,2.0,0.4666666666666666,0.5463906581740976
98,MTK00105,3.0,0.6416666666666667,0.7057003575818527
99,MTK00106,1.0,0.31666666666666665,0.35997876857749467
100,MTK00106,2.0,0.6,0.5463906581740976
101,MTK00106,3.0,0.725,0.7057003575818527
102,MTK00109,1.0,0.3333333333333333,0.35997876857749467
103,MTK00109,2.0,0.6666666666666666,0.5463906581740976
104,MTK00109,3.0,0.9,0.7057003575818527
105,MTK00121,1.0,0.36666666666666664,0.35997876857749467
106,MTK00121,2.0,0.5833333333333333,0.5463906581740976
107,MTK00121,3.0,0.725,0.7057003575818527
108,MTK00125,1.0,0.4,0.35997876857749467
109,MTK00125,2.0,0.5166666666666666,0.5463906581740976
110,MTK00125,3.0,0.7333333333333333,0.7057003575818527
111,MTK00128,1.0,0.15,0.35997876857749467
112,MTK00128,2.0,0.2333333333333333,0.5463906581740976
113,MTK00128,3.0,0.5916666666666667,0.7057003575818527
114,MTK00131,1.0,0.21666666666666665,0.35997876857749467
115,MTK00131,2.0,0.45,0.5463906581740976
116,MTK00131,3.0,0.675,0.7057003575818527
117,MTK00133,1.0,0.3,0.35997876857749467
118,MTK00133,2.0,0.4333333333333333,0.5463906581740976
119,MTK00133,3.0,0.575,0.7057003575818527
